id,uuid,api_feed_id,source_name,source_uuid,title,description,context,source_url,image_url,author,published_at,symbols,sectors,industries,report,created_at,update_at,deleted_at
1,468fcb7e-51ba-4cb1-ba0a-bad036a46ecc,1,InsideEVs,https://insideevs.com/news/708867/scout-motors-buttons-interview/,Scout Motors' Electric Trucks Will Have Real Buttons,"Finally, an EV that doesn't want to dominate your life with screens. ","When Scout Motors' first electric trucks and SUVs roll off the assembly line in 2026, they will attempt to conquer the American market in ways that parent company Volkswagen has never been able to pull off before. And they will do this with something that's an increasing rarity in the growing electric market: actual, physical buttons.",https://insideevs.com/news/708867/scout-motors-buttons-interview/,https://cdn.motor1.com/images/mgl/AkgoVy/s6/scout-buttons-top.jpg,Patrick George,2024-02-15 23:24:49+00:00,,,,FALSE,2024-02-16 02:06:24.226765+00:00,,
2,38d514cb-af87-4bf2-bc1e-23ac40bae24f,1,InsideEVs,https://insideevs.com/news/708850/toyota-bz4x-depreciation-story/,The Toyota bZ4X Is Depreciating Massively. But Why?,We spoke with two automotive experts to find out what's going on with the e-TNGA EV prices. ,"Toyota and Subaru products have some of the best resale values of any mass-market cars. In the luxury world, Lexus vehicles hold onto their values better than products from Mercedes-Benz, BMW, Audi, and others. But while that holds for internal-combustion cars, the depreciation curve is different for the brands’ early electric efforts. The Toyota bZ4X, Subaru Solterra, and Lexus RZ all lie within that category.",https://insideevs.com/news/708850/toyota-bz4x-depreciation-story/,https://cdn.motor1.com/images/mgl/zx4OgE/s6/toyota-bz4x.jpg,Andrew Lambrecht,2024-02-15 22:00:01+00:00,,,,FALSE,2024-02-16 02:06:24.523811+00:00,,
3,cf0164bd-e19c-4b71-9303-65ca860f1e4b,1,InsideEVs,https://insideevs.com/news/708856/ford-small-car-evs-profitable/,"Ford Killed Its Small Cars. Now It Says Small, Profitable EVs Are A Must",Ford doubled-down on trucks and SUVs. Now it's realizing smaller might be better.,"If you've been interested in a smaller vehicle from the Ford Motor Company—say, a Focus or a Fiesta or a Fusion, something like that—you've unfortunately been out of luck for years now. Back in 2018, when gas was extra cheap, interest rates were low and no high-tech Chinese automakers were posting up in Mexico and waiting to pounce, Ford made a certain strategic decision to maximize profits. Under then-CEO Jim Hackett, Ford famously killed all of its cars in North America except the Mustang and Ford Focus Active, which was later canceled as well.",https://insideevs.com/news/708856/ford-small-car-evs-profitable/,https://cdn.motor1.com/images/mgl/0eNM0k/s6/ford-small-ev-top.jpg,Patrick George,2024-02-15 21:00:38+00:00,,,,FALSE,2024-02-16 02:06:24.807494+00:00,,
4,b70fd4ac-206b-47fb-8bce-d3e3b1ddc407,1,InsideEVs,https://insideevs.com/news/708232/volvo-trucks-first-electric-only-model/,This Is Volvo Trucks’ First Electric-Only Model: FM Low Entry,An all-electric truck ready for heavy loads and efficient driving in city areas. ,"Volvo Trucks moves forward with the electrification of its truck lineup, introducing another (its eighth) all-electric truck model.",https://insideevs.com/news/708232/volvo-trucks-first-electric-only-model/,https://cdn.motor1.com/images/mgl/YAGMge/s6/volvo-fm-low-entry.jpg,Mark Kane,2024-02-15 20:00:49+00:00,,,,FALSE,2024-02-16 02:06:25.096815+00:00,,
5,db2bdd5c-7cd0-489c-bc0f-73d7a0b2711a,1,InsideEVs,https://insideevs.com/news/708805/ex-gm-truck-exec-tesla-cybertruck/,Ex-GM Truck Exec On The Tesla Cybertruck: Make It Cheaper And More People Will Want It,Terry Woychowski was the Chief Engineer for GM’s Full-Size Truck Platform in the 2000s. Think Chevy Silverado and the original Hummer.,"The Tesla Cybertruck is arguably the most controversial pickup in recent history, with its angular design, stainless steel body panels, and bold claims about capability. Ever since it was revealed in 2019, people argued whether or not Tesla’s first-ever truck can actually do truck things.",https://insideevs.com/news/708805/ex-gm-truck-exec-tesla-cybertruck/,https://cdn.motor1.com/images/mgl/Akgo02/s6/tesla-cybertruck-owner-review.jpg,Iulian Dnistran,2024-02-15 19:00:25+00:00,,,,FALSE,2024-02-16 02:06:25.469720+00:00,,
6,3aee2b64-7948-45bc-84a0-a9476edcf8aa,1,InsideEVs,https://insideevs.com/news/708836/rivian-r2-teaser-released/,Rivian R2: Here's A Shadowy First Look,Surprise! It looks like a Rivian.,"Earlier this month, Rivian announced that its highly anticipated R2 model, potentially a mid-size SUV or crossover, was set to be unveiled on March 7, 2024. Leading up to the unveiling event next month at the Laguna Beach showroom in Orange County, California, Rivian is stoking enthusiasts' curiosity with the release of the R2's first official teaser.",https://insideevs.com/news/708836/rivian-r2-teaser-released/,https://cdn.motor1.com/images/mgl/7ZvO8o/s6/rivian-r2-teaser.jpg,Suvrat Kothari,2024-02-15 17:17:07+00:00,,,,FALSE,2024-02-16 02:06:25.743752+00:00,,
7,f33e5855-b129-4578-a2f2-82728258cae0,1,InsideEVs,https://insideevs.com/news/708783/gm-super-cruise-update-2024/,"GM’s Super Cruise Now Works On 750,000 Miles Of Roads",The update nearly doubles the number of highway miles in North America where users can drive hands-free.,"Super Cruise, General Motors’ advanced driver-assistance system (ADAS), is getting a big update that will almost double the number of highway miles where owners of compatible cars can activate the feature.",https://insideevs.com/news/708783/gm-super-cruise-update-2024/,https://cdn.motor1.com/images/mgl/Kb1N2b/s6/gm-super-cruise-on-a-cadillac-escalade-iq.jpg,Iulian Dnistran,2024-02-15 16:13:32+00:00,,,,FALSE,2024-02-16 02:06:26.022650+00:00,2024-02-16 17:13:10.726202+00:00,
8,8fcd5d29-b4f6-4a87-9995-d057149773bc,1,InsideEVs,https://insideevs.com/news/708798/sacramento-california-gas-critical-materials/,Sacramento Looks to Ban New Gas Stations,"Plus, Ford calls Chinese EVs a ""colossal"" threat and the U.S. issued $135 Million in EV tax credits so far in 2024.","Spring is just a month away, and that means&nbsp;out with the old, in with the new. Apparently Sacramento, California feels that way too, but about its vehicle support infrastructure. The Golden State's capital city may soon become one of the major cities aiming to ban the construction or expansion of gas stations.",https://insideevs.com/news/708798/sacramento-california-gas-critical-materials/,https://cdn.motor1.com/images/mgl/3Wv9Jj/s6/sacramento-gas-station-ban---critical-materials-20240215.jpg,Rob Stumpf,2024-02-15 16:13:02+00:00,,,,FALSE,2024-02-16 02:06:26.300300+00:00,,
9,9840ba71-de87-4fe7-b658-90cd7e6e8ba3,1,InsideEVs,https://insideevs.com/news/708727/kia-ev9-owner-review-consumer-reports-video/,"Kia EV9 Has Ample Room Inside And Decent Handling, Says Consumer Reports",CR’s early owner’s review of the electric three-row SUV also points out some annoying things.,"The Kia EV9 is kind of the all-electric equivalent of the Telluride. The pair of three-row SUVs are almost identical in size, but the fact that the EV9 has an all-electric powertrain has several advantages over its combustion-powered stablemate. However, there are some things in the zero-emissions SUV that might annoy owners.",https://insideevs.com/news/708727/kia-ev9-owner-review-consumer-reports-video/,https://cdn.motor1.com/images/mgl/nAmJM1/s6/nkh7xbtw_oc.jpg,Iulian Dnistran,2024-02-15 16:00:12+00:00,,,,FALSE,2024-02-16 02:06:26.638018+00:00,,
10,4b06d9aa-6bc5-4f44-bee3-84a540213da5,1,InsideEVs,https://insideevs.com/news/708546/how-to-clean-tesla-cybertruck-stainless-steel-body/,Tesla Cybertruck Owners Report 'Rust Spots.' Here's How To Remove Them,"You might even have these rather cheap products at home right now, which makes the task even easier.","The Tesla Cybertruck's stainless steel body panels get dirty, discolored and show signs of ""corrosion,"" but there's a simple two-step cheap method to fix these issues.",https://insideevs.com/news/708546/how-to-clean-tesla-cybertruck-stainless-steel-body/,https://cdn.motor1.com/images/mgl/nAmYRR/s6/p9gc4yjpsf4.jpg,Eric Loveday,2024-02-15 15:00:16+00:00,,,,FALSE,2024-02-16 02:06:26.918720+00:00,,
